name,annotations,codepoints,emoji,synonyms
man frowning: medium-light skin tone,"frowning, gesture, man, medium-light skin tone","[128589, 127996, 8205, 9794, 65039]",,"frown, frowning"
man frowning: medium skin tone,"frowning, gesture, man, medium skin tone","[128589, 127997, 8205, 9794, 65039]",,"frown, frowning"
man frowning: medium-dark skin tone,"frowning, gesture, man, medium-dark skin tone","[128589, 127998, 8205, 9794, 65039]",,"frown, frowning"
man frowning: dark skin tone,"dark skin tone, frowning, gesture, man","[128589, 127999, 8205, 9794, 65039]",,"frown, frowning"
woman frowning,"frowning, gesture, woman","[128589, 8205, 9792, 65039]",,"frown, frowning"
woman frowning: light skin tone,"frowning, gesture, light skin tone, woman","[128589, 127995, 8205, 9792, 65039]",,"frown, frowning"
woman frowning: medium-light skin tone,"frowning, gesture, medium-light skin tone, woman","[128589, 127996, 8205, 9792, 65039]",,"frown, frowning"
woman frowning: medium skin tone,"frowning, gesture, medium skin tone, woman","[128589, 127997, 8205, 9792, 65039]",,"frown, frowning"
woman frowning: medium-dark skin tone,"frowning, gesture, medium-dark skin tone, woman","[128589, 127998, 8205, 9792, 65039]",,"frown, frowning"
woman frowning: dark skin tone,"dark skin tone, frowning, gesture, woman","[128589, 127999, 8205, 9792, 65039]",,"frown, frowning"
person pouting,"gesture, pouting",[128590],🙎,"pout, pouting"
person pouting: light skin tone,"gesture, light skin tone, pouting","[128590, 127995]",,"pout, pouting"
person pouting: medium-light skin tone,"gesture, medium-light skin tone, pouting","[128590, 127996]",,"pout, pouting"
person pouting: medium skin tone,"gesture, medium skin tone, pouting","[128590, 127997]",,"pout, pouting"
person pouting: medium-dark skin tone,"gesture, medium-dark skin tone, pouting","[128590, 127998]",,"pout, pouting"
person pouting: dark skin tone,"dark skin tone, gesture, pouting","[128590, 127999]",,"pout, pouting"
man pouting,"gesture, man, pouting","[128590, 8205, 9794, 65039]",,"pout, pouting"
man pouting: light skin tone,"gesture, light skin tone, man, pouting","[128590, 127995, 8205, 9794, 65039]",,"pout, pouting"
man pouting: medium-light skin tone,"gesture, man, medium-light skin tone, pouting","[128590, 127996, 8205, 9794, 65039]",,"pout, pouting"
man pouting: medium skin tone,"gesture, man, medium skin tone, pouting","[128590, 127997, 8205, 9794, 65039]",,"pout, pouting"
man pouting: medium-dark skin tone,"gesture, man, medium-dark skin tone, pouting","[128590, 127998, 8205, 9794, 65039]",,"pout, pouting"
man pouting: dark skin tone,"dark skin tone, gesture, man, pouting","[128590, 127999, 8205, 9794, 65039]",,"pout, pouting"
woman pouting,"gesture, pouting, woman","[128590, 8205, 9792, 65039]",,"pout, pouting"
woman pouting: light skin tone,"gesture, light skin tone, pouting, woman","[128590, 127995, 8205, 9792, 65039]",,"pout, pouting"
woman pouting: medium-light skin tone,"gesture, medium-light skin tone, pouting, woman","[128590, 127996, 8205, 9792, 65039]",,"pout, pouting"
woman pouting: medium skin tone,"gesture, medium skin tone, pouting, woman","[128590, 127997, 8205, 9792, 65039]",,"pout, pouting"
woman pouting: medium-dark skin tone,"gesture, medium-dark skin tone, pouting, woman","[128590, 127998, 8205, 9792, 65039]",,"pout, pouting"
woman pouting: dark skin tone,"dark skin tone, gesture, pouting, woman","[128590, 127999, 8205, 9792, 65039]",,"pout, pouting"
person gesturing no,"forbidden, gesture, hand, no, not, prohibited",[128581],🙅,"no, not, prohibited, forbidden"
person gesturing no: light skin tone,"forbidden, gesture, hand, light skin tone, no, not, prohibited","[128581, 127995]",,"no, not, prohibited, forbidden"
person gesturing no: medium-light skin tone,"forbidden, gesture, hand, medium-light skin tone, no, not, prohibited","[128581, 127996]",,"no, not, prohibited, forbidden"
person gesturing no: medium skin tone,"forbidden, gesture, hand, medium skin tone, no, not, prohibited","[128581, 127997]",,"no, not, prohibited, forbidden"
person gesturing no: medium-dark skin tone,"forbidden, gesture, hand, medium-dark skin tone, no, not, prohibited","[128581, 127998]",,"no, not, prohibited, forbidden"
person gesturing no: dark skin tone,"dark skin tone, forbidden, gesture, hand, no, not, prohibited","[128581, 127999]",,"no, not, prohibited, forbidden"
man gesturing no,"forbidden, gesture, hand, man, no, prohibited","[128581, 8205, 9794, 65039]",,"no, not, prohibited, forbidden"
man gesturing no: light skin tone,"forbidden, gesture, hand, light skin tone, man, no, prohibited","[128581, 127995, 8205, 9794, 65039]",,"no, not, prohibited, forbidden"
man gesturing no: medium-light skin tone,"forbidden, gesture, hand, man, medium-light skin tone, no, prohibited","[128581, 127996, 8205, 9794, 65039]",,"no, not, prohibited, forbidden"
man gesturing no: medium skin tone,"forbidden, gesture, hand, man, medium skin tone, no, prohibited","[128581, 127997, 8205, 9794, 65039]",,"no, not, prohibited, forbidden"
man gesturing no: medium-dark skin tone,"forbidden, gesture, hand, man, medium-dark skin tone, no, prohibited","[128581, 127998, 8205, 9794, 65039]",,"no, not, prohibited, forbidden"
man gesturing no: dark skin tone,"dark skin tone, forbidden, gesture, hand, man, no, prohibited","[128581, 127999, 8205, 9794, 65039]",,"no, not, prohibited, forbidden"
woman gesturing no,"forbidden, gesture, hand, no, prohibited, woman","[128581, 8205, 9792, 65039]",,"no, not, prohibited, forbidden"
woman gesturing no: light skin tone,"forbidden, gesture, hand, light skin tone, no, prohibited, woman","[128581, 127995, 8205, 9792, 65039]",,"no, not, prohibited, forbidden"
woman gesturing no: medium-light skin tone,"forbidden, gesture, hand, medium-light skin tone, no, prohibited, woman","[128581, 127996, 8205, 9792, 65039]",,"no, not, prohibited, forbidden"
woman gesturing no: medium skin tone,"forbidden, gesture, hand, medium skin tone, no, prohibited, woman","[128581, 127997, 8205, 9792, 65039]",,"no, not, prohibited, forbidden"
woman gesturing no: medium-dark skin tone,"forbidden, gesture, hand, medium-dark skin tone, no, prohibited, woman","[128581, 127998, 8205, 9792, 65039]",,"no, not, prohibited, forbidden"
woman gesturing no: dark skin tone,"dark skin tone, forbidden, gesture, hand, no, prohibited, woman","[128581, 127999, 8205, 9792, 65039]",,"no, not, prohibited, forbidden"
person gesturing ok,"gesture, hand, ok",[128582],🙆,"yes, ok, allowed, accepted"
person gesturing ok: light skin tone,"gesture, hand, light skin tone, ok","[128582, 127995]",,"yes, ok, allowed, accepted"
person gesturing ok: medium-light skin tone,"gesture, hand, medium-light skin tone, ok","[128582, 127996]",,"yes, ok, allowed, accepted"
person gesturing ok: medium skin tone,"gesture, hand, medium skin tone, ok","[128582, 127997]",,"yes, ok, allowed, accepted"
person gesturing ok: medium-dark skin tone,"gesture, hand, medium-dark skin tone, ok","[128582, 127998]",,"yes, ok, allowed, accepted"
person gesturing ok: dark skin tone,"dark skin tone, gesture, hand, ok","[128582, 127999]",,"yes, ok, allowed, accepted"
man gesturing ok,"gesture, hand, man, ok","[128582, 8205, 9794, 65039]",,"yes, ok, allowed, accepted"
man gesturing ok: light skin tone,"gesture, hand, light skin tone, man, ok","[128582, 127995, 8205, 9794, 65039]",,"yes, ok, allowed, accepted"
man gesturing ok: medium-light skin tone,"gesture, hand, man, medium-light skin tone, ok","[128582, 127996, 8205, 9794, 65039]",,"yes, ok, allowed, accepted"
man gesturing ok: medium skin tone,"gesture, hand, man, medium skin tone, ok","[128582, 127997, 8205, 9794, 65039]",,"yes, ok, allowed, accepted"
man gesturing ok: medium-dark skin tone,"gesture, hand, man, medium-dark skin tone, ok","[128582, 127998, 8205, 9794, 65039]",,"yes, ok, allowed, accepted"
man gesturing ok: dark skin tone,"dark skin tone, gesture, hand, man, ok","[128582, 127999, 8205, 9794, 65039]",,"yes, ok, allowed, accepted"
woman gesturing ok,"gesture, hand, ok, woman","[128582, 8205, 9792, 65039]",,"yes, ok, allowed, accepted"
woman gesturing ok: light skin tone,"gesture, hand, light skin tone, ok, woman","[128582, 127995, 8205, 9792, 65039]",,"yes, ok, allowed, accepted"
woman gesturing ok: medium-light skin tone,"gesture, hand, medium-light skin tone, ok, woman","[128582, 127996, 8205, 9792, 65039]",,"yes, ok, allowed, accepted"
woman gesturing ok: medium skin tone,"gesture, hand, medium skin tone, ok, woman","[128582, 127997, 8205, 9792, 65039]",,"yes, ok, allowed, accepted"
woman gesturing ok: medium-dark skin tone,"gesture, hand, medium-dark skin tone, ok, woman","[128582, 127998, 8205, 9792, 65039]",,"yes, ok, allowed, accepted"
woman gesturing ok: dark skin tone,"dark skin tone, gesture, hand, ok, woman","[128582, 127999, 8205, 9792, 65039]",,"yes, ok, allowed, accepted"
person tipping hand,"hand, help, information, sassy, tipping",[128129],💁,"sassy, tipping"
person tipping hand: light skin tone,"hand, help, information, light skin tone, sassy, tipping","[128129, 127995]",,"sassy, tipping"
person tipping hand: medium-light skin tone,"hand, help, information, medium-light skin tone, sassy, tipping","[128129, 127996]",,"sassy, tipping"
person tipping hand: medium skin tone,"hand, help, information, medium skin tone, sassy, tipping","[128129, 127997]",,"sassy, tipping"
person tipping hand: medium-dark skin tone,"hand, help, information, medium-dark skin tone, sassy, tipping","[128129, 127998]",,"sassy, tipping"
person tipping hand: dark skin tone,"dark skin tone, hand, help, information, sassy, tipping","[128129, 127999]",,"sassy, tipping"
man tipping hand,"man, sassy, tipping hand","[128129, 8205, 9794, 65039]",,"sassy, tipping"
man tipping hand: light skin tone,"light skin tone, man, sassy, tipping hand","[128129, 127995, 8205, 9794, 65039]",,"sassy, tipping"
man tipping hand: medium-light skin tone,"man, medium-light skin tone, sassy, tipping hand","[128129, 127996, 8205, 9794, 65039]",,"sassy, tipping"
man tipping hand: medium skin tone,"man, medium skin tone, sassy, tipping hand","[128129, 127997, 8205, 9794, 65039]",,"sassy, tipping"
man tipping hand: medium-dark skin tone,"man, medium-dark skin tone, sassy, tipping hand","[128129, 127998, 8205, 9794, 65039]",,"sassy, tipping"
man tipping hand: dark skin tone,"dark skin tone, man, sassy, tipping hand","[128129, 127999, 8205, 9794, 65039]",,"sassy, tipping"
woman tipping hand,"sassy, tipping hand, woman","[128129, 8205, 9792, 65039]",,"sassy, tipping"
woman tipping hand: light skin tone,"light skin tone, sassy, tipping hand, woman","[128129, 127995, 8205, 9792, 65039]",,"sassy, tipping"
woman tipping hand: medium-light skin tone,"medium-light skin tone, sassy, tipping hand, woman","[128129, 127996, 8205, 9792, 65039]",,"sassy, tipping"
woman tipping hand: medium skin tone,"medium skin tone, sassy, tipping hand, woman","[128129, 127997, 8205, 9792, 65039]",,"sassy, tipping"
woman tipping hand: medium-dark skin tone,"medium-dark skin tone, sassy, tipping hand, woman","[128129, 127998, 8205, 9792, 65039]",,"sassy, tipping"
woman tipping hand: dark skin tone,"dark skin tone, sassy, tipping hand, woman","[128129, 127999, 8205, 9792, 65039]",,"sassy, tipping"
person raising hand,"gesture, hand, happy, raised",[128587],🙋,"raised hand, raising hand, pick me"
person raising hand: light skin tone,"gesture, hand, happy, light skin tone, raised","[128587, 127995]",,"raised hand, raising hand, pick me"
person raising hand: medium-light skin tone,"gesture, hand, happy, medium-light skin tone, raised","[128587, 127996]",,"raised hand, raising hand, pick me"
person raising hand: medium skin tone,"gesture, hand, happy, medium skin tone, raised","[128587, 127997]",,"raised hand, raising hand, pick me"
person raising hand: medium-dark skin tone,"gesture, hand, happy, medium-dark skin tone, raised","[128587, 127998]",,"raised hand, raising hand, pick me"
person raising hand: dark skin tone,"dark skin tone, gesture, hand, happy, raised","[128587, 127999]",,"raised hand, raising hand, pick me"
man raising hand,"gesture, man, raising hand","[128587, 8205, 9794, 65039]",,"raised hand, raising hand, pick me"
man raising hand: light skin tone,"gesture, light skin tone, man, raising hand","[128587, 127995, 8205, 9794, 65039]",,"raised hand, raising hand, pick me"
man raising hand: medium-light skin tone,"gesture, man, medium-light skin tone, raising hand","[128587, 127996, 8205, 9794, 65039]",,"raised hand, raising hand, pick me"
man raising hand: medium skin tone,"gesture, man, medium skin tone, raising hand","[128587, 127997, 8205, 9794, 65039]",,"raised hand, raising hand, pick me"
man raising hand: medium-dark skin tone,"gesture, man, medium-dark skin tone, raising hand","[128587, 127998, 8205, 9794, 65039]",,"raised hand, raising hand, pick me"
man raising hand: dark skin tone,"dark skin tone, gesture, man, raising hand","[128587, 127999, 8205, 9794, 65039]",,"raised hand, raising hand, pick me"
woman raising hand,"gesture, raising hand, woman","[128587, 8205, 9792, 65039]",,"raised hand, raising hand, pick me"
woman raising hand: light skin tone,"gesture, light skin tone, raising hand, woman","[128587, 127995, 8205, 9792, 65039]",,"raised hand, raising hand, pick me"
woman raising hand: medium-light skin tone,"gesture, medium-light skin tone, raising hand, woman","[128587, 127996, 8205, 9792, 65039]",,"raised hand, raising hand, pick me"
woman raising hand: medium skin tone,"gesture, medium skin tone, raising hand, woman","[128587, 127997, 8205, 9792, 65039]",,"raised hand, raising hand, pick me"
woman raising hand: medium-dark skin tone,"gesture, medium-dark skin tone, raising hand, woman","[128587, 127998, 8205, 9792, 65039]",,"raised hand, raising hand, pick me"
woman raising hand: dark skin tone,"dark skin tone, gesture, raising hand, woman","[128587, 127999, 8205, 9792, 65039]",,"raised hand, raising hand, pick me"
person bowing,"apology, bow, gesture, sorry",[128583],🙇,"bow, bowing, apology, sorry, respect"
person bowing: light skin tone,"apology, bow, gesture, light skin tone, sorry","[128583, 127995]",,"bow, bowing, apology, sorry, respect"
person bowing: medium-light skin tone,"apology, bow, gesture, medium-light skin tone, sorry","[128583, 127996]",,"bow, bowing, apology, sorry, respect"
person bowing: medium skin tone,"apology, bow, gesture, medium skin tone, sorry","[128583, 127997]",,"bow, bowing, apology, sorry, respect"
person bowing: medium-dark skin tone,"apology, bow, gesture, medium-dark skin tone, sorry","[128583, 127998]",,"bow, bowing, apology, sorry, respect"
person bowing: dark skin tone,"apology, bow, dark skin tone, gesture, sorry","[128583, 127999]",,"bow, bowing, apology, sorry, respect"
man bowing,"apology, bowing, favor, gesture, man, sorry","[128583, 8205, 9794, 65039]",,"bow, bowing, apology, sorry, respect"
man bowing: light skin tone,"apology, bowing, favor, gesture, light skin tone, man, sorry","[128583, 127995, 8205, 9794, 65039]",,"bow, bowing, apology, sorry, respect"
man bowing: medium-light skin tone,"apology, bowing, favor, gesture, man, medium-light skin tone, sorry","[128583, 127996, 8205, 9794, 65039]",,"bow, bowing, apology, sorry, respect"
man bowing: medium skin tone,"apology, bowing, favor, gesture, man, medium skin tone, sorry","[128583, 127997, 8205, 9794, 65039]",,"bow, bowing, apology, sorry, respect"
man bowing: medium-dark skin tone,"apology, bowing, favor, gesture, man, medium-dark skin tone, sorry","[128583, 127998, 8205, 9794, 65039]",,"bow, bowing, apology, sorry, respect"
man bowing: dark skin tone,"apology, bowing, dark skin tone, favor, gesture, man, sorry","[128583, 127999, 8205, 9794, 65039]",,"bow, bowing, apology, sorry, respect"
woman bowing,"apology, bowing, favor, gesture, sorry, woman","[128583, 8205, 9792, 65039]",,"bow, bowing, apology, sorry, respect"
woman bowing: light skin tone,"apology, bowing, favor, gesture, light skin tone, sorry, woman","[128583, 127995, 8205, 9792, 65039]",,"bow, bowing, apology, sorry, respect"
woman bowing: medium-light skin tone,"apology, bowing, favor, gesture, medium-light skin tone, sorry, woman","[128583, 127996, 8205, 9792, 65039]",,"bow, bowing, apology, sorry, respect"
woman bowing: medium skin tone,"apology, bowing, favor, gesture, medium skin tone, sorry, woman","[128583, 127997, 8205, 9792, 65039]",,"bow, bowing, apology, sorry, respect"
woman bowing: medium-dark skin tone,"apology, bowing, favor, gesture, medium-dark skin tone, sorry, woman","[128583, 127998, 8205, 9792, 65039]",,"bow, bowing, apology, sorry, respect"
woman bowing: dark skin tone,"apology, bowing, dark skin tone, favor, gesture, sorry, woman","[128583, 127999, 8205, 9792, 65039]",,"bow, bowing, apology, sorry, respect"
person facepalming,"disbelief, exasperation, face, palm",[129318],🤦,"facepalm, facepalming, disbelief, exasperation"
person facepalming: light skin tone,"disbelief, exasperation, face, light skin tone, palm","[129318, 127995]",,"facepalm, facepalming, disbelief, exasperation"
person facepalming: medium-light skin tone,"disbelief, exasperation, face, medium-light skin tone, palm","[129318, 127996]",,"facepalm, facepalming, disbelief, exasperation"
person facepalming: medium skin tone,"disbelief, exasperation, face, medium skin tone, palm","[129318, 127997]",,"facepalm, facepalming, disbelief, exasperation"
person facepalming: medium-dark skin tone,"disbelief, exasperation, face, medium-dark skin tone, palm","[129318, 127998]",,"facepalm, facepalming, disbelief, exasperation"
person facepalming: dark skin tone,"dark skin tone, disbelief, exasperation, face, palm","[129318, 127999]",,"facepalm, facepalming, disbelief, exasperation"
man facepalming,"disbelief, exasperation, facepalm, man","[129318, 8205, 9794, 65039]",,"facepalm, facepalming, disbelief, exasperation"
man facepalming: light skin tone,"disbelief, exasperation, facepalm, light skin tone, man","[129318, 127995, 8205, 9794, 65039]",,"facepalm, facepalming, disbelief, exasperation"
man facepalming: medium-light skin tone,"disbelief, exasperation, facepalm, man, medium-light skin tone","[129318, 127996, 8205, 9794, 65039]",,"facepalm, facepalming, disbelief, exasperation"
man facepalming: medium skin tone,"disbelief, exasperation, facepalm, man, medium skin tone","[129318, 127997, 8205, 9794, 65039]",,"facepalm, facepalming, disbelief, exasperation"
man facepalming: medium-dark skin tone,"disbelief, exasperation, facepalm, man, medium-dark skin tone","[129318, 127998, 8205, 9794, 65039]",,"facepalm, facepalming, disbelief, exasperation"
man facepalming: dark skin tone,"dark skin tone, disbelief, exasperation, facepalm, man","[129318, 127999, 8205, 9794, 65039]",,"facepalm, facepalming, disbelief, exasperation"
woman facepalming,"disbelief, exasperation, facepalm, woman","[129318, 8205, 9792, 65039]",,"facepalm, facepalming, disbelief, exasperation"
woman facepalming: light skin tone,"disbelief, exasperation, facepalm, light skin tone, woman","[129318, 127995, 8205, 9792, 65039]",,"facepalm, facepalming, disbelief, exasperation"
woman facepalming: medium-light skin tone,"disbelief, exasperation, facepalm, medium-light skin tone, woman","[129318, 127996, 8205, 9792, 65039]",,"facepalm, facepalming, disbelief, exasperation"
woman facepalming: medium skin tone,"disbelief, exasperation, facepalm, medium skin tone, woman","[129318, 127997, 8205, 9792, 65039]",,"facepalm, facepalming, disbelief, exasperation"
woman facepalming: medium-dark skin tone,"disbelief, exasperation, facepalm, medium-dark skin tone, woman","[129318, 127998, 8205, 9792, 65039]",,"facepalm, facepalming, disbelief, exasperation"
woman facepalming: dark skin tone,"dark skin tone, disbelief, exasperation, facepalm, woman","[129318, 127999, 8205, 9792, 65039]",,"facepalm, facepalming, disbelief, exasperation"
person shrugging,"doubt, ignorance, indifference, shrug",[129335],🤷,"shrug, indifference, shrugging"
person shrugging: light skin tone,"doubt, ignorance, indifference, light skin tone, shrug","[129335, 127995]",,"shrug, indifference, shrugging"
person shrugging: medium-light skin tone,"doubt, ignorance, indifference, medium-light skin tone, shrug","[129335, 127996]",,"shrug, indifference, shrugging"
person shrugging: medium skin tone,"doubt, ignorance, indifference, medium skin tone, shrug","[129335, 127997]",,"shrug, indifference, shrugging"
person shrugging: medium-dark skin tone,"doubt, ignorance, indifference, medium-dark skin tone, shrug","[129335, 127998]",,"shrug, indifference, shrugging"
person shrugging: dark skin tone,"dark skin tone, doubt, ignorance, indifference, shrug","[129335, 127999]",,"shrug, indifference, shrugging"
man shrugging,"doubt, ignorance, indifference, man, shrug","[129335, 8205, 9794, 65039]",,"shrug, indifference, shrugging"
man shrugging: light skin tone,"doubt, ignorance, indifference, light skin tone, man, shrug","[129335, 127995, 8205, 9794, 65039]",,"shrug, indifference, shrugging"
man shrugging: medium-light skin tone,"doubt, ignorance, indifference, man, medium-light skin tone, shrug","[129335, 127996, 8205, 9794, 65039]",,"shrug, indifference, shrugging"
man shrugging: medium skin tone,"doubt, ignorance, indifference, man, medium skin tone, shrug","[129335, 127997, 8205, 9794, 65039]",,"shrug, indifference, shrugging"
man shrugging: medium-dark skin tone,"doubt, ignorance, indifference, man, medium-dark skin tone, shrug","[129335, 127998, 8205, 9794, 65039]",,"shrug, indifference, shrugging"
man shrugging: dark skin tone,"dark skin tone, doubt, ignorance, indifference, man, shrug","[129335, 127999, 8205, 9794, 65039]",,"shrug, indifference, shrugging"
woman shrugging,"doubt, ignorance, indifference, shrug, woman","[129335, 8205, 9792, 65039]",,"shrug, indifference, shrugging"
woman shrugging: light skin tone,"doubt, ignorance, indifference, light skin tone, shrug, woman","[129335, 127995, 8205, 9792, 65039]",,"shrug, indifference, shrugging"
woman shrugging: medium-light skin tone,"doubt, ignorance, indifference, medium-light skin tone, shrug, woman","[129335, 127996, 8205, 9792, 65039]",,"shrug, indifference, shrugging"
woman shrugging: medium skin tone,"doubt, ignorance, indifference, medium skin tone, shrug, woman","[129335, 127997, 8205, 9792, 65039]",,"shrug, indifference, shrugging"
woman shrugging: medium-dark skin tone,"doubt, ignorance, indifference, medium-dark skin tone, shrug, woman","[129335, 127998, 8205, 9792, 65039]",,"shrug, indifference, shrugging"
woman shrugging: dark skin tone,"dark skin tone, doubt, ignorance, indifference, shrug, woman","[129335, 127999, 8205, 9792, 65039]",,"shrug, indifference, shrugging"
person getting massage,"face, massage, salon",[128134],💆,"massage, salon, pamper, pampering, massaging"
person getting massage: light skin tone,"face, light skin tone, massage, salon","[128134, 127995]",,"massage, salon, pamper, pampering, massaging"
person getting massage: medium-light skin tone,"face, massage, medium-light skin tone, salon","[128134, 127996]",,"massage, salon, pamper, pampering, massaging"
person getting massage: medium skin tone,"face, massage, medium skin tone, salon","[128134, 127997]",,"massage, salon, pamper, pampering, massaging"
person getting massage: medium-dark skin tone,"face, massage, medium-dark skin tone, salon","[128134, 127998]",,"massage, salon, pamper, pampering, massaging"
person getting massage: dark skin tone,"dark skin tone, face, massage, salon","[128134, 127999]",,"massage, salon, pamper, pampering, massaging"
man getting massage,"face, man, massage","[128134, 8205, 9794, 65039]",,"massage, salon, pamper, pampering, massaging"
man getting massage: light skin tone,"face, light skin tone, man, massage","[128134, 127995, 8205, 9794, 65039]",,"massage, salon, pamper, pampering, massaging"
man getting massage: medium-light skin tone,"face, man, massage, medium-light skin tone","[128134, 127996, 8205, 9794, 65039]",,"massage, salon, pamper, pampering, massaging"
man getting massage: medium skin tone,"face, man, massage, medium skin tone","[128134, 127997, 8205, 9794, 65039]",,"massage, salon, pamper, pampering, massaging"
man getting massage: medium-dark skin tone,"face, man, massage, medium-dark skin tone","[128134, 127998, 8205, 9794, 65039]",,"massage, salon, pamper, pampering, massaging"
man getting massage: dark skin tone,"dark skin tone, face, man, massage","[128134, 127999, 8205, 9794, 65039]",,"massage, salon, pamper, pampering, massaging"
woman getting massage,"face, massage, woman","[128134, 8205, 9792, 65039]",,"massage, salon, pamper, pampering, massaging"
woman getting massage: light skin tone,"face, light skin tone, massage, woman","[128134, 127995, 8205, 9792, 65039]",,"massage, salon, pamper, pampering, massaging"
woman getting massage: medium-light skin tone,"face, massage, medium-light skin tone, woman","[128134, 127996, 8205, 9792, 65039]",,"massage, salon, pamper, pampering, massaging"
woman getting massage: medium skin tone,"face, massage, medium skin tone, woman","[128134, 127997, 8205, 9792, 65039]",,"massage, salon, pamper, pampering, massaging"
woman getting massage: medium-dark skin tone,"face, massage, medium-dark skin tone, woman","[128134, 127998, 8205, 9792, 65039]",,"massage, salon, pamper, pampering, massaging"
woman getting massage: dark skin tone,"dark skin tone, face, massage, woman","[128134, 127999, 8205, 9792, 65039]",,"massage, salon, pamper, pampering, massaging"
person getting haircut,"barber, beauty, haircut, parlor",[128135],💇,"hair, haircut, hairdressing, hairdressing, stylist"
person getting haircut: light skin tone,"barber, beauty, haircut, light skin tone, parlor","[128135, 127995]",,"hair, haircut, hairdressing, hairdressing, stylist"
person getting haircut: medium-light skin tone,"barber, beauty, haircut, medium-light skin tone, parlor","[128135, 127996]",,"hair, haircut, hairdressing, hairdressing, stylist"
person getting haircut: medium skin tone,"barber, beauty, haircut, medium skin tone, parlor","[128135, 127997]",,"hair, haircut, hairdressing, hairdressing, stylist"
person getting haircut: medium-dark skin tone,"barber, beauty, haircut, medium-dark skin tone, parlor","[128135, 127998]",,"hair, haircut, hairdressing, hairdressing, stylist"
person getting haircut: dark skin tone,"barber, beauty, dark skin tone, haircut, parlor","[128135, 127999]",,"hair, haircut, hairdressing, hairdressing, stylist"
man getting haircut,"haircut, man","[128135, 8205, 9794, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
man getting haircut: light skin tone,"haircut, light skin tone, man","[128135, 127995, 8205, 9794, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
man getting haircut: medium-light skin tone,"haircut, man, medium-light skin tone","[128135, 127996, 8205, 9794, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
man getting haircut: medium skin tone,"haircut, man, medium skin tone","[128135, 127997, 8205, 9794, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
man getting haircut: medium-dark skin tone,"haircut, man, medium-dark skin tone","[128135, 127998, 8205, 9794, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
man getting haircut: dark skin tone,"dark skin tone, haircut, man","[128135, 127999, 8205, 9794, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
woman getting haircut,"haircut, woman","[128135, 8205, 9792, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
woman getting haircut: light skin tone,"haircut, light skin tone, woman","[128135, 127995, 8205, 9792, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
woman getting haircut: medium-light skin tone,"haircut, medium-light skin tone, woman","[128135, 127996, 8205, 9792, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
woman getting haircut: medium skin tone,"haircut, medium skin tone, woman","[128135, 127997, 8205, 9792, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
woman getting haircut: medium-dark skin tone,"haircut, medium-dark skin tone, woman","[128135, 127998, 8205, 9792, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
woman getting haircut: dark skin tone,"dark skin tone, haircut, woman","[128135, 127999, 8205, 9792, 65039]",,"hair, haircut, hairdressing, hairdressing, stylist"
person walking,"hike, walk, walking",[128694],🚶,"walk, walking, hike, stroll, strolling, hiking"
person walking: light skin tone,"hike, light skin tone, walk, walking","[128694, 127995]",,"walk, walking, hike, stroll, strolling, hiking"
person walking: medium-light skin tone,"hike, medium-light skin tone, walk, walking","[128694, 127996]",,"walk, walking, hike, stroll, strolling, hiking"
person walking: medium skin tone,"hike, medium skin tone, walk, walking","[128694, 127997]",,"walk, walking, hike, stroll, strolling, hiking"
person walking: medium-dark skin tone,"hike, medium-dark skin tone, walk, walking","[128694, 127998]",,"walk, walking, hike, stroll, strolling, hiking"
person walking: dark skin tone,"dark skin tone, hike, walk, walking","[128694, 127999]",,"walk, walking, hike, stroll, strolling, hiking"
man walking,"hike, man, walk","[128694, 8205, 9794, 65039]",,"walk, walking, hike, stroll, strolling, hiking"
man walking: light skin tone,"hike, light skin tone, man, walk","[128694, 127995, 8205, 9794, 65039]",,"walk, walking, hike, stroll, strolling, hiking"
man walking: medium-light skin tone,"hike, man, medium-light skin tone, walk","[128694, 127996, 8205, 9794, 65039]",,"walk, walking, hike, stroll, strolling, hiking"
man walking: medium skin tone,"hike, man, medium skin tone, walk","[128694, 127997, 8205, 9794, 65039]",,"walk, walking, hike, stroll, strolling, hiking"
man walking: medium-dark skin tone,"hike, man, medium-dark skin tone, walk","[128694, 127998, 8205, 9794, 65039]",,"walk, walking, hike, stroll, strolling, hiking"
man walking: dark skin tone,"dark skin tone, hike, man, walk","[128694, 127999, 8205, 9794, 65039]",,"walk, walking, hike, stroll, strolling, hiking"
woman walking,"hike, walk, woman","[128694, 8205, 9792, 65039]",,"walk, walking, hike, stroll, strolling, hiking"
woman walking: light skin tone,"hike, light skin tone, walk, woman","[128694, 127995, 8205, 9792, 65039]",,"walk, walking, hike, stroll, strolling, hiking"
woman walking: medium-light skin tone,"hike, medium-light skin tone, walk, woman","[128694, 127996, 8205, 9792, 65039]",,"walk, walking, hike, stroll, strolling, hiking"
